day,time_h,product_class,location,equipment,input,store_key,level,capacity,fill_pct
178,4248,CL,Gladstone,CL_STORE,CL,CL|Gladstone|CL_STORE|CL,119996.1737431906,120000.0,0.9999681145265883
178,4248,CL,Import,CL_STORE,CL,CL|Import|CL_STORE|CL,24999.0,999999.0,0.024999024999025
178,4248,CL,Port Kembla,CL_STORE_I,CL,CL|Port Kembla|CL_STORE_I|CL,85790.42315889054,86000.0,0.9975630599870993
178,4248,CL,Railton,CL_STORE,CL,CL|Railton|CL_STORE|CL,25386.189660318825,115000.0,0.22074947530712022
178,4248,FA,Gladstone,FA_EXPSILO_STORE,FA,FA|Gladstone|FA_EXPSILO_STORE|FA,13912.414466192991,14000.0,0.9937438904423566
178,4248,FA,Melbourne,FA_STORE,FA,FA|Melbourne|FA_STORE|FA,0.0,15000.0,0.0
178,4248,FA,Osborn,FA_STORE,FA,FA|Osborn|FA_STORE|FA,0.0,7500.0,0.0
178,4248,FA,Port Kembla,FA_STORE,FA,FA|Port Kembla|FA_STORE|FA,0.0,15000.0,0.0
178,4248,GBFS,Bulwer Island,GBFS_STORE,GBFS,GBFS|Bulwer Island|GBFS_STORE|GBFS,49606.540508790546,50000.0,0.992130810175811
178,4248,GBFS,Import,GBFS_STORE,GBFS,GBFS|Import|GBFS_STORE|GBFS,999999.0,999999.0,1.0
178,4248,GBFS,Port Kembla,GBFS_STORE,GBFS,GBFS|Port Kembla|GBFS_STORE|GBFS,24345.67151675299,50000.0,0.4869134303350598
178,4248,GP,Albury,GP_STORE,GP,GP|Albury|GP_STORE|GP,21377.99901368841,99999.0,0.2137821279581637
178,4248,GP,Bulwer Island,GP_STORE,GP,GP|Bulwer Island|GP_STORE|GP,15.546588827838832,30000.0,0.0005182196275946277
178,4248,GP,Clyde,GP_STORE,GP,GP|Clyde|GP_STORE|GP,56.07417582417584,3000.0,0.018691391941391945
178,4248,GP,Devonport,GP_STORE,GP,GP|Devonport|GP_STORE|GP,24996.380235377528,25000.0,0.9998552094151011
178,4248,GP,Gladstone,GP_STORE,GP,GP|Gladstone|GP_STORE|GP,93.56486818789199,30000.0,0.0031188289395963995
178,4248,GP,Mackay,GP_STORE,GP,GP|Mackay|GP_STORE|GP,16032.842770524587,99999.0,0.16033003100555593
178,4248,GP,Melbourne,GP_STORE,GP,GP|Melbourne|GP_STORE|GP,0.0,35000.0,0.0
178,4248,GP,Newcastle,GP_STORE,GP,GP|Newcastle|GP_STORE|GP,0.0,25000.0,0.0
178,4248,GP,Osborn,GP_STORE,GP,GP|Osborn|GP_STORE|GP,0.0,14500.0,0.0
178,4248,GP,Port Kembla,GP_STORE,GP,GP|Port Kembla|GP_STORE|GP,29679.046528231007,30000.0,0.9893015509410336
178,4248,GP,Railton,GP_STORE_Q,GP,GP|Railton|GP_STORE_Q|GP,1484.095522741014,1500.0,0.989397015160676
178,4248,GP,Railton,GP_STORE_ST,GP,GP|Railton|GP_STORE_ST|GP,3559.9680094557816,3600.0,0.988880002626606
178,4248,GP,Townsville,GP_STORE,GP,GP|Townsville|GP_STORE|GP,0.0,30000.0,0.0
178,4248,GP,Wagga,GP_STORE,GP,GP|Wagga|GP_STORE|GP,25799.693522685753,99999.0,0.25799951522200976
178,4248,SG,Bulwer Island,SG_STORE,SG,SG|Bulwer Island|SG_STORE|SG,60.0,10000.0,0.006
178,4248,SG,Chullora,SG_STORE,SG,SG|Chullora|SG_STORE|SG,0.0,99999.0,0.0
178,4248,SG,Clyde,SG_STORE,SG,SG|Clyde|SG_STORE|SG,0.0,3000.0,0.0
178,4248,SG,Melbourne,SG_STORE,SG,SG|Melbourne|SG_STORE|SG,0.0,25000.0,0.0
178,4248,SG,Newcastle,SG_STORE,SG,SG|Newcastle|SG_STORE|SG,0.0,3000.0,0.0
178,4248,SG,Port Kembla,SG_STORE,SG,SG|Port Kembla|SG_STORE|SG,2335.6499792283767,20000.0,0.11678249896141883
178,4248,SG,Tennyson,SG_STORE,SG,SG|Tennyson|SG_STORE|SG,26102.246862695007,99999.0,0.26102507887773885
179,4272,CL,Bulwer Island,CL_STORE_I,CL,CL|Bulwer Island|CL_STORE_I|CL,13265.127271669937,30000.0,0.4421709090556646
179,4272,CL,Bulwer Island,CL_STORE,CL,CL|Bulwer Island|CL_STORE|CL,45307.49188104941,50000.0,0.9061498376209882
179,4272,CL,Gladstone,CL_STORE,CL,CL|Gladstone|CL_STORE|CL,119996.1737431906,120000.0,0.9999681145265883
179,4272,CL,Import,CL_STORE,CL,CL|Import|CL_STORE|CL,24999.0,999999.0,0.024999024999025
179,4272,CL,Port Kembla,CL_STORE_I,CL,CL|Port Kembla|CL_STORE_I|CL,85790.42315889054,86000.0,0.9975630599870993
179,4272,CL,Railton,CL_STORE,CL,CL|Railton|CL_STORE|CL,25386.189660318825,115000.0,0.22074947530712022
179,4272,FA,Gladstone,FA_EXPSILO_STORE,FA,FA|Gladstone|FA_EXPSILO_STORE|FA,13912.414466192991,14000.0,0.9937438904423566
179,4272,FA,Melbourne,FA_STORE,FA,FA|Melbourne|FA_STORE|FA,0.0,15000.0,0.0
179,4272,FA,Osborn,FA_STORE,FA,FA|Osborn|FA_STORE|FA,0.0,7500.0,0.0
179,4272,FA,Port Kembla,FA_STORE,FA,FA|Port Kembla|FA_STORE|FA,0.0,15000.0,0.0
179,4272,GBFS,Bulwer Island,GBFS_STORE,GBFS,GBFS|Bulwer Island|GBFS_STORE|GBFS,49606.540508790546,50000.0,0.992130810175811
179,4272,GBFS,Import,GBFS_STORE,GBFS,GBFS|Import|GBFS_STORE|GBFS,999999.0,999999.0,1.0
